,Unnamed: 0,PLAYER NAME,TEAM,POS,BYE WEEK,POINTS,POSITIONAL TIER
0,0,Ja'Marr Chase,CIN,WR,10,320.0,1
1,2,Bijan Robinson,ATL,RB,5,298.0,1
25,25,Josh Allen,BUF,QB,7,349.0,2
2,1,Saquon Barkley,PHI,RB,9,296.0,1
3,4,Jahmyr Gibbs,DET,RB,8,296.0,1
4,3,Justin Jefferson,MIN,WR,6,296.0,2
5,5,CeeDee Lamb,DAL,WR,10,289.0,2
8,8,Nico Collins,HOU,WR,6,273.0,2
7,7,Amon-Ra St. Brown,DET,WR,8,271.0,2
6,6,Puka Nacua,LAR,WR,8,276.0,2
12,13,Christian McCaffrey,SF,RB,14,270.0,1
9,10,Derrick Henry,BAL,RB,7,266.0,2
11,9,Malik Nabers,NYG,WR,14,264.0,3
10,11,Ashton Jeanty,LV,RB,8,249.0,1
13,12,Brian Thomas,JAC,WR,8,269.0,2
15,14,Jonathan Taylor,IND,RB,11,242.0,2
14,17,De'Von Achane,MIA,RB,12,253.0,1
18,18,Josh Jacobs,GB,RB,5,254.0,2
26,26,Lamar Jackson,BAL,QB,7,358.0,1
19,19,Drake London,ATL,WR,5,247.0,3
21,21,Ladd McConkey,LAC,WR,12,243.0,3
17,16,A.J. Brown,PHI,WR,9,244.0,3
16,15,Brock Bowers,LV,TE,8,233.0,1
27,27,Jalen Hurts,PHI,QB,9,330.0,4
33,34,Jayden Daniels,WAS,QB,12,341.0,3
29,29,Patrick Mahomes,KC,QB,10,310.0,6
20,20,Bucky Irving,TB,RB,9,267.0,1
23,23,Tee Higgins,CIN,WR,10,220.0,3
32,33,Chase Brown,CIN,RB,10,223.0,3
22,22,Kyren Williams,LAR,RB,8,226.0,2
24,24,Trey McBride,ARI,TE,8,231.0,2
30,31,Jaxon Smith-Njigba,SEA,WR,8,217.0,4
37,37,Garrett Wilson,NYJ,WR,9,224.0,3
36,30,George Kittle,SF,TE,14,207.0,3
41,41,Davante Adams,LAR,WR,8,218.0,4
31,32,James Cook,BUF,RB,7,225.0,3
40,40,Mike Evans,TB,WR,9,231.0,4
28,28,Joe Burrow,CIN,QB,10,322.0,5
39,39,Tyreek Hill,MIA,WR,12,217.9,4
34,35,Terry McLaurin,WAS,WR,12,235.0,4
38,38,Breece Hall,NYJ,RB,9,219.0,3
62,62,Baker Mayfield,TB,QB,9,308.0,7
50,50,Chuba Hubbard,CAR,RB,14,215.0,3
76,76,Bo Nix,DEN,QB,12,299.0,8
45,45,Kenneth Walker,SEA,RB,8,180.0,2
107,107,Justin Fields,NYJ,QB,9,268.0,12
44,44,Marvin Harrison,ARI,WR,8,217.0,4
43,43,Alvin Kamara,NO,RB,11,216.0,3
56,56,Omarion Hampton,LAC,RB,12,216.0,3
52,52,James Conner,ARI,RB,8,211.0,3
51,51,Joe Mixon,HOU,RB,6,215.0,3
155,155,Denver Broncos,DEN,DST,12,141.0,4
47,47,D.K. Metcalf,PIT,WR,5,209.0,4
42,42,DJ Moore,CHI,WR,5,211.0,4
48,48,Zay Flowers,BAL,WR,7,194.0,4
65,65,Xavier Worthy,KC,WR,10,207.0,4
49,49,DeVonta Smith,PHI,WR,9,205.0,4
95,95,Brock Purdy,SF,QB,14,293.0,9
61,61,David Montgomery,DET,RB,8,178.0,4
46,46,Courtland Sutton,DEN,WR,12,209.0,5
35,36,Rashee Rice,KC,WR,10,206.0,4
60,60,Jameson Williams,DET,WR,8,200.0,4
75,75,Kyler Murray,ARI,QB,8,275.0,11
91,91,Justin Herbert,LAC,QB,12,273.0,13
58,58,Sam LaPorta,DET,TE,8,182.0,5
53,53,Chris Olave,NO,WR,11,181.0,5
68,68,Tony Pollard,TEN,RB,10,179.0,3
94,94,Caleb Williams,CHI,QB,5,273.0,16
66,66,George Pickens,DAL,WR,10,202.0,5
54,54,Chris Godwin,TB,WR,9,194.0,5
82,82,Kaleb Johnson,PIT,RB,5,167.0,6
71,71,Calvin Ridley,TEN,WR,10,199.0,5
73,73,Isiah Pacheco,KC,RB,10,180.0,4
72,72,RJ Harvey,DEN,RB,12,185.0,3
100,100,Dak Prescott,DAL,QB,10,273.0,13
55,55,Jaylen Waddle,MIA,WR,12,198.0,4
70,70,D'Andre Swift,CHI,RB,5,179.0,3
59,59,Travis Hunter,JAC,WR,8,175.0,4
63,63,Aaron Jones,MIN,RB,6,205.8,3
106,106,Drake Maye,NE,QB,14,276.0,15
74,74,Tetairoa McMillan,CAR,WR,14,201.0,4
69,69,TreVeyon Henderson,NE,RB,14,166.4,5
77,77,Rome Odunze,CHI,WR,5,192.0,5
64,64,T.J. Hockenson,MIN,TE,6,173.0,4
162,162,Philadelphia Eagles,PHI,DST,9,152.0,3
90,90,Brian Robinson,WAS,RB,12,149.0,5
164,164,Pittsburgh Steelers,PIT,DST,5,137.0,1
165,165,Baltimore Ravens,BAL,DST,7,142.0,8
183,183,Kansas City Chiefs,KC,DST,10,132.0,8
67,67,Jordan Addison,MIN,WR,6,200.0,5
178,178,Brandon Aubrey,DAL,K,10,164.0,1
195,195,Cameron Dicker,LAC,K,12,153.0,3
57,57,Jerry Jeudy,CLE,WR,9,195.0,5
87,87,Jaylen Warren,PIT,RB,5,186.0,4
97,97,Tyrone Tracy,NYG,RB,14,156.0,5
104,104,Jayden Reed,GB,WR,5,181.0,5
124,124,Jordan Mason,MIN,RB,6,148.0,7
88,88,Mark Andrews,BAL,TE,7,166.0,9
78,78,Travis Kelce,KC,TE,10,169.0,8
92,92,Jared Goff,DET,QB,8,290.0,10
84,84,David Njoku,CLE,TE,9,152.0,7
80,80,Evan Engram,DEN,TE,12,148.0,13
169,169,Minnesota Vikings,MIN,DST,6,140.0,5
193,193,Detroit Lions,DET,DST,8,128.0,2
177,177,Jake Bates,DET,K,8,148.0,1
89,89,Stefon Diggs,NE,WR,14,168.0,5
201,201,Chris Boswell,PIT,K,5,144.0,3
109,109,Ricky Pearsall,SF,WR,14,174.0,6
213,214,Ka'imi Fairbairn,HOU,K,6,147.0,5
199,199,Wil Lutz,DEN,K,12,139.0,6
86,86,Jauan Jennings,SF,WR,14,189.0,5
79,79,Khalil Shakir,BUF,WR,7,173.0,5
114,114,Zach Charbonnet,SEA,RB,8,130.0,6
112,112,Tucker Kraft,GB,TE,5,138.0,10
191,191,Los Angeles Chargers,LAC,DST,12,96.0,10
93,93,Josh Downs,IND,WR,11,171.0,5
81,81,Quinshon Judkins,CLE,RB,9,180.0,3
215,216,Evan McPherson,CIN,K,10,142.0,3
83,83,Jakobi Meyers,LV,WR,8,189.0,5
96,96,Travis Etienne,JAC,RB,8,169.0,6
102,102,Deebo Samuel,WAS,WR,12,191.0,5
210,211,Chase McLaughlin,TB,K,9,146.0,3
99,99,Najee Harris,LAC,RB,12,147.0,8
116,116,Dalton Kincaid,BUF,TE,7,133.0,14
111,111,Rhamondre Stevenson,NE,RB,14,132.0,5
123,123,Cam Skattebo,NYG,RB,14,136.0,6
105,105,Jordan Love,GB,QB,5,260.0,17
98,98,Brandon Aiyuk,SF,WR,14,167.0,5
225,226,Jason Sanders,MIA,K,12,133.0,4
127,127,Tank Bigsby,JAC,RB,8,77.0,7
118,118,Rachaad White,TB,RB,9,107.0,7
103,103,Michael Pittman,IND,WR,11,165.0,5
119,119,Tyjae Spears,TEN,RB,10,129.0,6
110,110,C.J. Stroud,HOU,QB,6,270.0,14
117,117,Jake Ferguson,DAL,TE,10,145.0,16
108,108,Javonte Williams,DAL,RB,10,107.0,6
101,101,Cooper Kupp,SEA,WR,8,166.0,5
152,152,Bhayshul Tuten,JAC,RB,8,109.0,9
85,85,Jonnu Smith,MIA,TE,12,120.0,6
157,157,Matthew Golden,GB,WR,5,172.0,5
115,115,Darnell Mooney,ATL,WR,5,168.0,5
128,128,Dallas Goedert,PHI,TE,9,148.0,15
113,113,Trevor Lawrence,JAC,QB,8,272.0,16
126,126,J.J. McCarthy,MIN,QB,6,272.0,13
175,175,Houston Texans,HOU,DST,6,141.0,6
220,221,Harrison Butker,KC,K,10,146.0,4
120,120,Christian Kirk,HOU,WR,6,151.0,5
161,161,J.K. Dobbins,DEN,RB,12,108.8,8
131,131,Rico Dowdle,CAR,RB,14,88.0,8
153,153,Jaylen Wright,MIA,RB,12,101.1,8
121,121,Matthew Stafford,LAR,QB,8,225.0,21
173,173,Isaiah Likely,BAL,TE,7,126.5,21
129,129,Austin Ekeler,WAS,RB,12,147.6,6
174,174,Buffalo Bills,BUF,DST,7,130.0,2
146,146,Rashod Bateman,BAL,WR,7,145.2,6
134,134,Bryce Young,CAR,QB,14,229.0,20
125,125,Rashid Shaheed,NO,WR,11,140.0,5
159,159,Kyle Williams,NE,WR,14,123.0,7
141,141,Geno Smith,LV,QB,8,225.0,21
142,142,Tyler Allgeier,ATL,RB,5,101.7,8
143,143,Emeka Egbuka,TB,WR,9,128.9,6
176,176,Jack Bech,LV,WR,8,139.0,6
133,133,Keon Coleman,BUF,WR,7,139.0,6
138,138,Ray Davis,BUF,RB,7,116.0,8
122,122,Tua Tagovailoa,MIA,QB,12,231.0,19
148,148,Colston Loveland,CHI,TE,5,158.8,8
144,144,Isaac Guerendo,SF,RB,14,110.3,8
159,159,Zach Ertz,WAS,TE,12,130.0,4
148,148,Trey Benson,ARI,RB,8,108.5,6
135,135,Hunter Henry,NE,TE,14,132.0,18
130,130,Luther Burden,CHI,WR,5,153.0,7
166,166,MarShawn Lloyd,GB,RB,5,95.5,8
137,137,Michael Penix,ATL,QB,5,232.0,19
150,150,Marvin Mims,DEN,WR,12,145.0,6
158,158,Blake Corum,LAR,RB,8,71.4,9
136,136,Tyler Warren,IND,TE,11,151.4,12
151,151,Jalen McMillan,TB,WR,9,98.2,7
149,149,Braelon Allen,NYJ,RB,9,83.7,9
179,179,Jayden Higgins,HOU,WR,6,152.0,7
160,160,Roschon Johnson,CHI,RB,5,110.3,8
158,158,Jerome Ford,CLE,RB,9,47.2,8
154,154,Quentin Johnston,LAC,WR,12,128.0,5
156,156,Kyle Pitts,ATL,TE,5,138.2,17
270,273,Jarquez Hunter,LAR,RB,8,37.8,8
197,197,Brenton Strange,JAC,TE,8,133.8,4
150,150,Romeo Doubs,GB,WR,5,110.0,5
169,169,Jaydon Blue,DAL,RB,10,110.0,6
140,140,Marquise Brown,KC,WR,10,139.0,6
146,146,Cedric Tillman,CLE,WR,9,111.0,4
172,172,Tre Harris,LAC,WR,12,104.7,7
212,213,Nick Chubb,HOU,RB,6,72.4,7
260,263,Will Shipley,PHI,RB,9,33.1,9
132,132,Pat Freiermuth,PIT,TE,5,151.9,11
171,171,Cade Otton,TB,TE,9,129.1,19
230,231,Diontae Johnson,CLE,WR,9,127.6,6
139,139,Adam Thielen,CAR,WR,14,140.0,6
170,170,Xavier Legette,CAR,WR,14,116.0,6
166,166,Wan'Dale Robinson,NYG,WR,14,177.8,4
194,194,New York Jets,NYJ,DST,9,93.0,6
198,198,Seattle Seahawks,SEA,DST,8,101.0,5
224,225,Jake Elliott,PHI,K,9,139.0,2
223,224,Tyler Bass,BUF,K,7,142.0,2
232,233,Jalen Tolbert,DAL,WR,10,114.5,6
233,234,Antonio Gibson,NE,RB,14,25.1,9
234,235,Brandin Cooks,NO,WR,11,110.3,6
235,236,Kayshon Boutte,NE,WR,14,17.5,10
236,237,Calvin Austin,PIT,WR,5,164.2,5
237,238,Younghoe Koo,ATL,K,5,142.4,6
238,240,Dallas Cowboys,DAL,DST,10,120.0,3
239,241,Juwan Johnson,NO,TE,11,112.7,5
240,242,Tampa Bay Buccaneers,TB,DST,9,110.2,5
241,243,Elijah Mitchell,KC,RB,10,67.2,7
242,244,Devin Singletary,NYG,RB,14,58.1,8
243,245,Miles Sanders,DAL,RB,10,66.3,7
244,246,Kenneth Gainwell,PIT,RB,5,28.4,9
245,247,Elijah Arroyo,SEA,TE,8,84.5,6
246,248,Keaton Mitchell,BAL,RB,7,47.0,8
247,249,Jalen Royals,KC,WR,10,64.3,8
248,250,Cleveland Browns,CLE,DST,9,92.0,2
249,251,Raheem Mostert,LV,RB,8,73.6,7
250,252,Kyle Monangai,CHI,RB,5,17.5,9
251,254,Mike Williams,LAC,WR,12,89.7,7
252,255,Joshua Karty,LAR,K,8,145.9,5
253,256,Nick Westbrook-Ikhine,MIA,WR,12,94.2,7
254,257,Roman Wilson,PIT,WR,5,113.0,6
255,258,Trevor Etienne,CAR,RB,14,43.8,8
256,259,Malik Washington,MIA,WR,12,63.1,8
257,260,Noah Gray,KC,TE,10,84.2,6
258,261,Harold Fannin,CLE,TE,9,46.2,7
259,262,Noah Fant,SEA,TE,8,101.1,5
260,263,Will Shipley,PHI,RB,9,33.1,9
261,264,Matt Gay,WAS,K,12,147.7,4
262,265,Ty Johnson,BUF,RB,7,64.8,7
263,266,Zack Moss,CIN,RB,10,68.5,7
264,267,Daniel Jones,IND,QB,11,69.1,5
265,268,Khalil Herbert,IND,RB,11,12.7,10
266,269,Tim Patrick,DET,WR,8,83.2,7
267,270,Pat Bryant,DEN,WR,12,78.1,8
268,271,Kimani Vidal,LAC,RB,12,18.7,9
269,272,Dyami Brown,JAC,WR,8,91.0,7
270,273,Jarquez Hunter,LAR,RB,8,37.8,8
271,274,Sincere McCormick,LV,RB,8,25.9,9
272,275,Tahj Brooks,CIN,RB,10,2.1,10
273,276,Tyler Shough,NO,QB,11,158.0,4
274,277,Jaxson Dart,NYG,QB,14,51.0,5
275,280,Theo Johnson,NYG,TE,14,110.8,5
276,281,Parker Washington,JAC,WR,8,71.3,8
277,282,Sean Tucker,TB,RB,9,21.3,9
278,283,Jalen Nailor,MIN,WR,6,75.2,8
279,284,Tre Tucker,LV,WR,8,123.8,6
280,285,Woody Marks,HOU,RB,6,72.4,7
281,286,Alexander Mattison,MIA,RB,12,78.7,7
282,287,Brashard Smith,KC,RB,10,7.2,10
283,288,Isaiah Davis,NYJ,RB,9,56.6,8
284,289,Joe Flacco,CLE,QB,9,112.0,4
285,290,Chicago Bears,CHI,DST,5,107.3,8
286,291,Terrance Ferguson,LAR,TE,8,58.6,7
287,292,Will Dissly,LAC,TE,12,85.4,6
288,293,Luke McCaffrey,WAS,WR,12,28.2,10
289,294,Shedeur Sanders,CLE,QB,9,14.5,5
290,295,Jordan James,SF,RB,14,27.5,9
291,296,Daniel Carlson,LV,K,8,145.1,5
292,297,Miami Dolphins,MIA,DST,12,110.0,5
293,298,Damien Martinez,SEA,RB,8,7.1,10
294,299,Tory Horton,SEA,WR,8,39.6,9
295,300,Ty Chandler,MIN,RB,6,15.3,10
296,302,Jason Myers,SEA,K,8,146.6,4
297,303,Ben Sinnott,WAS,TE,12,49.2,7
298,304,Oronde Gadsden,LAC,TE,12,26.6,8
299,305,Tyler Higbee,LAR,TE,8,99.9,5
300,307,Emanuel Wilson,GB,RB,5,60.1,8
301,308,John Metchie,HOU,WR,6,37.7,9
302,309,Jermaine Burton,CIN,WR,10,52.6,9
303,310,Tyler Conklin,LAC,TE,12,106.9,5
304,311,Tyler Conklin,LAC,TE,12,106.9,5
305,312,Isaac TeSlaa,DET,WR,8,41.5,9
306,313,Tai Felton,MIN,WR,6,3.8,10
307,315,Ray-Ray McCloud,ATL,WR,5,150.6,5
308,316,Jalen Milroe,SEA,QB,8,32.2,5
309,317,Tutu Atwell,LAR,WR,8,122.4,6
310,318,Jordan Whittington,LAR,WR,8,72.1,8
311,320,Arizona Cardinals,ARI,DST,8,108.2,7
312,321,Tyler Loop,BAL,K,7,149.6,3
313,323,Will Reichard,MIN,K,6,137.9,7
314,324,Troy Franklin,DEN,WR,12,77.0,8
315,325,Samaje Perine,CIN,RB,10,72.5,7
316,326,Dawson Knox,BUF,TE,7,72.8,6
317,327,Savion Williams,GB,WR,5,34.0,9
318,329,New York Giants,NYG,DST,14,93.0,5
319,330,Michael Mayer,LV,TE,8,83.0,6
320,332,Kirk Cousins,ATL,QB,5,25.7,5
321,333,Atlanta Falcons,ATL,DST,5,107.7,7
322,334,Jake Moody,SF,K,14,143.4,6
323,335,Luke Musgrave,GB,TE,5,40.5,7
324,336,Marquez Valdes-Scantling,SEA,WR,8,88.9,7
325,337,Will Levis,TEN,QB,10,24.7,5
326,338,Cam Little,JAC,K,8,145.3,5
327,339,Brandon McManus,GB,K,5,150.7,3
328,341,KaVontae Turpin,DAL,WR,10,89.5,7
329,343,Noah Brown,WAS,WR,12,112.3,6
330,344,Allen Lazard,NYJ,WR,9,48.2,9
331,345,Gunnar Helm,TEN,TE,10,32.8,8
332,346,Curtis Samuel,BUF,WR,7,55.1,8
333,347,Austin Hooper,NE,TE,14,81.0,6
334,348,Jameis Winston,NYG,QB,14,31.0,5
335,349,Washington Commanders,WAS,DST,12,105.4,9
336,350,Luke Schoonmaker,DAL,TE,10,47.3,7
337,351,Mason Rudolph,PIT,QB,5,38.5,5
338,352,Blake Grupe,NO,K,11,138.5,7
339,353,Chimere Dike,TEN,WR,10,58.9,8
340,354,Robert Woods,PIT,WR,5,57.0,8
341,355,Cairo Santos,CHI,K,5,140.4,7
342,357,Graham Gano,NYG,K,14,144.5,5
343,358,Josh Reynolds,NYJ,WR,9,65.9,8
344,359,Kalel Mullings,TEN,RB,10,10.9,10
345,360,Jaylin Lane,WAS,WR,12,44.1,9
346,361,Greg Dortch,ARI,WR,8,54.4,8
347,362,Tommy Tremble,CAR,TE,14,50.0,7
348,363,Indianapolis Colts,IND,DST,11,108.9,6
349,364,Aidan O'Connell,LV,QB,8,30.5,5
350,365,Van Jefferson,TEN,WR,10,69.6,8
351,367,Jeremy Ruckert,NYJ,TE,9,21.2,8
352,368,Kendrick Bourne,NE,WR,14,89.4,7
353,370,Foster Moreau,NO,TE,11,71.5,6
354,371,Arian Smith,NYJ,WR,9,79.9,7
355,372,New Orleans Saints,NO,DST,11,108.4,7
356,373,Chad Ryland,ARI,K,8,142.7,6
357,374,Spencer Rattler,NO,QB,11,25.7,5
358,375,Jahan Dotson,PHI,WR,9,64.1,8
359,376,JuJu Smith-Schuster,KC,WR,10,51.1,9
360,377,Emari Demercado,ARI,RB,8,62.8,7
361,378,Jalin Hyatt,NYG,WR,14,37.9,9
362,379,Jacob Cowing,SF,WR,14,16.0,10
363,380,Josh Oliver,MIN,TE,6,48.0,7
364,381,Darnell Washington,PIT,TE,5,42.7,7
365,382,Dillon Gabriel,CLE,QB,9,14.5,5
366,383,Craig Reynolds,DET,RB,8,18.8,9
367,384,Colby Parkinson,LAR,TE,8,32.3,8
368,385,Cordarrelle Patterson,PIT,RB,5,25.5,9
369,386,Mitchell Evans,CAR,TE,14,4.5,9
370,387,Zay Jones,ARI,WR,8,32.9,9
371,388,Kalif Raymond,DET,WR,8,47.7,9
372,389,AJ Barner,SEA,TE,8,31.6,8
373,391,Grant Calcaterra,PHI,TE,9,43.7,7
374,392,Joe Milton,DAL,QB,10,35.3,5
375,393,Tyler Johnson,NYJ,WR,9,24.2,10
376,394,Olamide Zaccheaus,CHI,WR,5,20.1,10
377,396,Daniel Bellinger,NYG,TE,14,29.4,8
378,397,Las Vegas Raiders,LV,DST,8,105.5,9
379,398,Kylen Granson,PHI,TE,9,24.1,8
380,399,KeAndre Lambert-Smith,LAC,WR,12,24.9,10
381,400,Elijah Higgins,ARI,TE,8,45.2,7
382,401,Malik Willis,GB,QB,5,23.6,5
383,402,Jonathan Mingo,DAL,WR,10,27.8,10
384,403,David Moore,CAR,WR,14,17.0,10
385,404,Hunter Long,JAC,TE,8,10.5,9
386,405,Jake Bobo,SEA,WR,8,39.0,9
387,407,Jacksonville Jaguars,JAC,DST,8,108.1,7
388,408,Julius Chestnut,TEN,RB,10,28.6,9
389,409,KhaDarel Hodge,ATL,WR,5,9.2,10
390,410,Zach Wilson,MIA,QB,12,29.7,5
391,412,Brevin Jordan,HOU,TE,6,9.9,9
392,413,Jordan Watkins,SF,WR,14,10.2,10
393,414,Clyde Edwards-Helaire,NO,RB,11,9.2,10
394,415,Devontez Walker,BAL,WR,7,9.3,10
395,416,Marcus Mariota,WAS,QB,12,29.7,5
396,418,Jake Browning,CIN,QB,10,32.0,5
397,419,Sam Howell,MIN,QB,6,27.6,5
398,420,Tanner Hudson,CIN,TE,10,47.2,7
399,421,Tyrod Taylor,NYJ,QB,9,23.8,5
400,422,Cooper Rush,BAL,QB,7,27.8,5
401,423,Mo Alie-Cox,IND,TE,11,20.5,8
402,424,Drew Sample,CIN,TE,10,42.1,7
